Santiago de Compostela Aeropuerto,,,,,,,,,,,,
,,,,,,,,,,,,
Month,T,TM,Tm,R,H,DR,DN,DT,DF,DH,DD,I
January,7.7,11.2,4.1,210,84,15.2,1,0.6,8.6,4.5,4.1,93
February,8.3,12.5,4.1,167,79,12.6,0.7,0.8,7,3.7,4.4,114
March,10.2,15,5.4,146,75,12.8,0.2,0.7,6.5,1.5,5,151
April,11.2,16.1,6.2,146,76,14.4,0.3,1.9,5.6,0.4,3.7,165
May,13.6,18.6,8.5,135,76,12.7,0,2.2,8.4,0,3.4,187
June,16.8,22.2,11.3,72,74,7.6,0,1.2,7.8,0,5.2,225
July,18.6,24.3,13,43,74,5.7,0,0.9,9.4,0,7,243
August,19,24.7,13.3,57,74,5.5,0,1.1,11.2,0,6.8,237
September,17.4,22.8,11.9,107,75,8.4,0,0.9,10.7,0,6.4,184
October,13.8,18.1,9.5,226,82,14,0,1.1,11.1,0.1,3.7,132
November,10.4,14.1,6.7,217,86,14.9,0.1,0.9,9.8,1,3.3,95
December,8.5,11.9,5,261,85,15.9,0.3,1.2,8.1,2.6,5.1,85
Year,13,17.6,8.3,1787,78,139.5,2.7,13.4,104.3,13.3,-,-
