"Date","Longitude","Latitude","Elevation","MaxTemperature","MinTemperature","Precipitation","Wind","RelativeHumidity","Solar",
"1/1/2000","-7.1875","41.9948","715","8.663","-4.233","0","1.19176","0.664086","9.26989",
"1/2/2000","-7.1875","41.9948","715","6.872","-4.652","0","1.35609","0.769722","9.20891",
"1/3/2000","-7.1875","41.9948","715","8.872","-3.566","0","1.04915","0.832378","8.8659",
"1/4/2000","-7.1875","41.9948","715","5.484","-3.669","0.113297","1.20901","0.888094","3.71789",
"1/5/2000","-7.1875","41.9948","715","3.979","-1.529","0.075531","2.85162","0.888153","7.09762",
"1/6/2000","-7.1875","41.9948","715","5.746","-2.055","0.343323","2.68468","0.943499","8.35863",
"1/7/2000","-7.1875","41.9948","715","7.832","-3.43","0.00686645","1.35079","0.922649","9.189",
"1/8/2000","-7.1875","41.9948","715","7.975","-3.441","0.31929","1.22787","0.930277","4.82293",
"1/9/2000","-7.1875","41.9948","715","4.451","1.364","1.30119","3.13159","0.92629","4.40359",
"1/10/2000","-7.1875","41.9948","715","4.692","-3.151","0.0343323","2.26365","0.849624","9.34869",
"1/11/2000","-7.1875","41.9948","715","3.146","-4.2","0","2.57509","0.779068","9.91845",
"1/12/2000","-7.1875","41.9948","715","7.076","-3.344","0","1.83857","0.816933","9.69868",
"1/13/2000","-7.1875","41.9948","715","3.195","-1.803","11.1168","2.63981","0.956153","2.31064",
"1/14/2000","-7.1875","41.9948","715","1.039","0.143","17.379","2.29016","0.988036","1.1268",
"1/15/2000","-7.1875","41.9948","715","2.301","-1.965","1.28403","3.51663","0.943054","3.00369",
"1/16/2000","-7.1875","41.9948","715","5.168","-2.012","0.0308991","3.27867","0.941636","9.83098",
"1/17/2000","-7.1875","41.9948","715","5.718","-2.541","0.0686646","2.58158","0.938045","10.2644",
"1/18/2000","-7.1875","41.9948","715","7.404","-3.402","0","2.08616","0.772399","10.1647",
"1/19/2000","-7.1875","41.9948","715","8.034","-2.008","0","2.82251","0.789941","10.5153",
"1/20/2000","-7.1875","41.9948","715","6.691","-2.172","0","2.62455","0.849954","10.7038",
"1/21/2000","-7.1875","41.9948","715","9.186","-5.157","0","1.44692","0.732133","10.8649",
